scientificname,scientificnameid,records,phylum,class,order,family,genus,annotation_type,annotation_aphiaid,datasets
Halcyon smyrnensis saturatior,,2,,,,,,grey/reject habitat,,fc3e8883-7326-497b-a556-25871b85ec98; d0d2a510-ba24-487b-80ca-afc86922cb1c
Halopyrum mucronatum,,2,,,,,,blue/DMT to process,,d0d2a510-ba24-487b-80ca-afc86922cb1c; 6b553f1d-1ed7-4b3c-9236-9f3291cdfd2c
Halosauropsis mediorostris,,2,,,,,,blue/DMT to process,,248d4349-7c65-4291-b849-57127a20aec8; d0d2a510-ba24-487b-80ca-afc86922cb1c
Hamodes aurantiaca,,2,,,,,,grey/reject habitat,,d0d2a510-ba24-487b-80ca-afc86922cb1c; 08709260-0555-4b50-9a44-162fb154a298
Hedbergella crassa,,2,,,,,,grey/reject fossil,,b58d5ca0-1af8-48b3-993d-6c89742bb0d2
Helenicula lanius,,2,,,,,,grey/reject habitat,,fb62aeed-6025-4ee7-8f64-2f89e1d549f2; d0d2a510-ba24-487b-80ca-afc86922cb1c
Helicteres isora,,2,,,,,,grey/reject habitat,,6b553f1d-1ed7-4b3c-9236-9f3291cdfd2c; d0d2a510-ba24-487b-80ca-afc86922cb1c
Helobdella fusca,,2,,,,,,grey/reject habitat,,89e23fc8-3f61-4480-9de3-358fe6eefe0b
Helobdella nociva,,2,,,,,,grey/reject habitat,,58e6252a-971f-4249-af6c-20d9ea918f02; d0d2a510-ba24-487b-80ca-afc86922cb1c
Hemidactylus leschenaulti,,2,,,,,,grey/reject habitat,,6d4cc1ed-ed0a-4a17-abd3-7daaa8cb3fb0; d0d2a510-ba24-487b-80ca-afc86922cb1c
Hemidactylus mercatorius,,2,,,,,,grey/reject habitat,,d0d2a510-ba24-487b-80ca-afc86922cb1c; 6d4cc1ed-ed0a-4a17-abd3-7daaa8cb3fb0
Hemidesmus indicus,,2,,,,,,grey/reject habitat,,d0d2a510-ba24-487b-80ca-afc86922cb1c; 6b553f1d-1ed7-4b3c-9236-9f3291cdfd2c
Hemidoras microstomus,,2,,,,,,grey/reject habitat,,705770e5-3474-4e69-be8b-3107a0c5610a
Hemiodopsis quadrimaculata,,2,,,,,,grey/reject habitat,,705770e5-3474-4e69-be8b-3107a0c5610a
Hemiphaedusa (Hemizaptyx) kosakai subsp. kosakai,,2,Mollusca,Gastropoda,Eupulmonata,Clausiliidae,Hemiphaedusa,blue/DMT to process,,97bdf279-6f78-4ed7-ad9d-27a5886f8ff2
Hemipristis serra,,2,,,,,,grey/reject habitat,,6d4cc1ed-ed0a-4a17-abd3-7daaa8cb3fb0; d0d2a510-ba24-487b-80ca-afc86922cb1c
Hemitilapia oxyrhynchus,,2,,,,,,white/typo: resolvable to AphiaID,1018836,b8617377-eb1c-4db2-baa6-8788a632e810; c24bf1c2-2c62-4056-a841-56d94e6e876a
Heptapterus brevior,,2,,,,,,grey/reject habitat,,705770e5-3474-4e69-be8b-3107a0c5610a
Herengeria calix,,2,,,,,,blue/DMT to process,,9b1a023a-219c-4280-9802-1c7896803570
Herpetogramma luctuosalis,,2,,,,,,grey/reject habitat,,d0d2a510-ba24-487b-80ca-afc86922cb1c; 9f14fcfe-b8c4-4614-82de-3f76eb47ed7f
Hesperoptenus tickelli,,2,,,,,,grey/reject habitat,,6d4cc1ed-ed0a-4a17-abd3-7daaa8cb3fb0; d0d2a510-ba24-487b-80ca-afc86922cb1c
Hetaerina,urn:lsid:itis.gov: itis_tsn:102048,2,Arthropoda,,,,Hetaerina,grey/reject habitat,,ce1d93f3-8b0f-4ee7-9a4d-0393a6ec7fea
Heterochthes andamanensis,,2,,,,,,grey/reject habitat,,d0d2a510-ba24-487b-80ca-afc86922cb1c; 46db556a-f04a-46c9-9000-db1a877512eb
Heterocoptes nolae,,2,,,,,,grey/reject habitat,,d0d2a510-ba24-487b-80ca-afc86922cb1c; fb62aeed-6025-4ee7-8f64-2f89e1d549f2
Heterolepa crebbsi,,2,,,,,,blue/DMT to process,,b58d5ca0-1af8-48b3-993d-6c89742bb0d2
Heterometrus (heterometrus) longimanus longimanus,,2,,,,,,blue/DMT to process,,d0d2a510-ba24-487b-80ca-afc86922cb1c; fb62aeed-6025-4ee7-8f64-2f89e1d549f2
Heteropoda fabrei,,2,,,,,,grey/reject habitat,,fb62aeed-6025-4ee7-8f64-2f89e1d549f2; d0d2a510-ba24-487b-80ca-afc86922cb1c
Heteropoda nicobarensis,,2,,,,,,grey/reject habitat,,fb62aeed-6025-4ee7-8f64-2f89e1d549f2; d0d2a510-ba24-487b-80ca-afc86922cb1c
Heterorrhina planata,,2,,,,,,grey/reject habitat,,d0d2a510-ba24-487b-80ca-afc86922cb1c; 46db556a-f04a-46c9-9000-db1a877512eb
Heterotrochus osellai,,2,,,,,,grey/reject habitat,,46db556a-f04a-46c9-9000-db1a877512eb; d0d2a510-ba24-487b-80ca-afc86922cb1c
Hilavrita discolorata,,2,,,,,,grey/reject habitat,,d0d2a510-ba24-487b-80ca-afc86922cb1c; 46db556a-f04a-46c9-9000-db1a877512eb
Himantormia lugubris,,2,Ascomycota,,,,Himantormia,blue/DMT to process,,d613e932-1d8e-4fc1-b596-95d3f980ebdb
Streptopelia tronquebarica,,2,,,,,,blue/DMT to process,,fc3e8883-7326-497b-a556-25871b85ec98; d0d2a510-ba24-487b-80ca-afc86922cb1c
Syllepte ridopalis,,2,,,,,,grey/reject habitat,,d0d2a510-ba24-487b-80ca-afc86922cb1c; 9f14fcfe-b8c4-4614-82de-3f76eb47ed7f
Vietteilus stenoptilioides,,2,,,,,,grey/reject habitat,,46db556a-f04a-46c9-9000-db1a877512eb; d0d2a510-ba24-487b-80ca-afc86922cb1c
Videna billeana,,2,,,,,,blue/DMT to process,,ab4a2c98-22b0-470b-9fe5-40bb0c2b5987; d0d2a510-ba24-487b-80ca-afc86922cb1c
Xyleborus cognatus,,2,,,,,,grey/reject habitat,,d0d2a510-ba24-487b-80ca-afc86922cb1c; 46db556a-f04a-46c9-9000-db1a877512eb
Xyleborus corpulentus,,2,,,,,,grey/reject habitat,,46db556a-f04a-46c9-9000-db1a877512eb; d0d2a510-ba24-487b-80ca-afc86922cb1c
Xyleborus haberkorni,,2,,,,,,grey/reject habitat,,d0d2a510-ba24-487b-80ca-afc86922cb1c; 46db556a-f04a-46c9-9000-db1a877512eb
Xyleborus perforans,,2,,,,,,grey/reject habitat,,46db556a-f04a-46c9-9000-db1a877512eb; d0d2a510-ba24-487b-80ca-afc86922cb1c
Xyleborus shiva,,2,,,,,,grey/reject habitat,,d0d2a510-ba24-487b-80ca-afc86922cb1c; 46db556a-f04a-46c9-9000-db1a877512eb
Xylodectes ornatus,,2,,,,,,grey/reject habitat,,46db556a-f04a-46c9-9000-db1a877512eb; d0d2a510-ba24-487b-80ca-afc86922cb1c
Tetranychus macfarlanei,,2,,,,,,grey/reject habitat,,fb62aeed-6025-4ee7-8f64-2f89e1d549f2; d0d2a510-ba24-487b-80ca-afc86922cb1c
Xylosandrus crassiusculus,,2,,,,,,grey/reject habitat,,46db556a-f04a-46c9-9000-db1a877512eb; d0d2a510-ba24-487b-80ca-afc86922cb1c
Xylosandrus discolor,,2,,,,,,grey/reject habitat,,d0d2a510-ba24-487b-80ca-afc86922cb1c; 46db556a-f04a-46c9-9000-db1a877512eb
Xylosandrus ursinus,,2,,,,,,grey/reject habitat,,d0d2a510-ba24-487b-80ca-afc86922cb1c; 46db556a-f04a-46c9-9000-db1a877512eb
Xylosandrus ursulus,,2,,,,,,grey/reject habitat,,46db556a-f04a-46c9-9000-db1a877512eb; d0d2a510-ba24-487b-80ca-afc86922cb1c
Tetranychus fijiensis,,2,,,,,,grey/reject habitat,,d0d2a510-ba24-487b-80ca-afc86922cb1c; fb62aeed-6025-4ee7-8f64-2f89e1d549f2
Trithemis pallidenervis,,2,,,,,,grey/reject habitat,,d0d2a510-ba24-487b-80ca-afc86922cb1c; 46db556a-f04a-46c9-9000-db1a877512eb
Thaumastopeus pullus,,2,,,,,,grey/reject habitat,,46db556a-f04a-46c9-9000-db1a877512eb; d0d2a510-ba24-487b-80ca-afc86922cb1c
Trithemis festiva,,2,,,,,,grey/reject habitat,,46db556a-f04a-46c9-9000-db1a877512eb; d0d2a510-ba24-487b-80ca-afc86922cb1c
Tetragnatha andamanensis,,2,,,,,,grey/reject habitat,,fb62aeed-6025-4ee7-8f64-2f89e1d549f2; d0d2a510-ba24-487b-80ca-afc86922cb1c
Stonella horrida,,2,,,,,,blue/DMT to process,,d0d2a510-ba24-487b-80ca-afc86922cb1c
Tethya aurantium californiana,,2,,,,,,blue/DMT to process,,89e23fc8-3f61-4480-9de3-358fe6eefe0b
Trithemis aurora,,2,,,,,,grey/reject habitat,,d0d2a510-ba24-487b-80ca-afc86922cb1c; 46db556a-f04a-46c9-9000-db1a877512eb
Strix leptogrammica,,2,,,,,,grey/reject habitat,,6d4cc1ed-ed0a-4a17-abd3-7daaa8cb3fb0; d0d2a510-ba24-487b-80ca-afc86922cb1c
Zeaflorilus chiliensis,,2,,,,,,blue/DMT to process,,b58d5ca0-1af8-48b3-993d-6c89742bb0d2
Vermicularia inopertus,,2,,,,,,blue/DMT to process,,537e69ef-fc0e-4540-a5ca-3be884fa44f3; d0d2a510-ba24-487b-80ca-afc86922cb1c
Vericularia inopertus,,2,,,,,,blue/DMT to process,,d0d2a510-ba24-487b-80ca-afc86922cb1c; 537e69ef-fc0e-4540-a5ca-3be884fa44f3
Terpsiphone paradisi nicobarica,,2,,,,,,grey/reject habitat,,6d4cc1ed-ed0a-4a17-abd3-7daaa8cb3fb0; d0d2a510-ba24-487b-80ca-afc86922cb1c
Terpsiphone paradisi,,2,,,,,,grey/reject habitat,,d0d2a510-ba24-487b-80ca-afc86922cb1c; 6d4cc1ed-ed0a-4a17-abd3-7daaa8cb3fb0
Velitra alboplagiata,,2,,,,,,grey/reject habitat,,d0d2a510-ba24-487b-80ca-afc86922cb1c; 46db556a-f04a-46c9-9000-db1a877512eb
Vavraia culicis floridensis,,2,,,,,,blue/DMT to process,,89e23fc8-3f61-4480-9de3-358fe6eefe0b
Vasum cornigera,,2,,,,,,blue/DMT to process,,d0d2a510-ba24-487b-80ca-afc86922cb1c; ab4a2c98-22b0-470b-9fe5-40bb0c2b5987
Zelleriella antilliensis,,2,,,,,,grey/reject habitat,,89e23fc8-3f61-4480-9de3-358fe6eefe0b
Teredo bartschi,,2,,,,,,"white/human intervention, resolvable to AphiaID",141605,b1f8bc4c-5427-40c8-8728-aad4d463b944
Theila reunionalis,,2,,,,,,grey/reject habitat,,d0d2a510-ba24-487b-80ca-afc86922cb1c; 46db556a-f04a-46c9-9000-db1a877512eb
Varanus salvator andamanensis,,2,,,,,,grey/reject habitat,,d0d2a510-ba24-487b-80ca-afc86922cb1c; 6d4cc1ed-ed0a-4a17-abd3-7daaa8cb3fb0
Vanikoro rosea,,2,,,,,,blue/DMT to process,,d0d2a510-ba24-487b-80ca-afc86922cb1c; 537e69ef-fc0e-4540-a5ca-3be884fa44f3
Vanellus malabaricus,,2,,,,,,grey/reject habitat,,fc3e8883-7326-497b-a556-25871b85ec98; d0d2a510-ba24-487b-80ca-afc86922cb1c
Vandellia wieneri,,2,,,,,,grey/reject habitat,,b8617377-eb1c-4db2-baa6-8788a632e810; c24bf1c2-2c62-4056-a841-56d94e6e876a
Sponge (round) UI,,2,,,,,,"white/human intervention, resolvable to AphiaID",558,b5294df4-08a3-48d6-810e-bd843e84897b
Triplatoma sexnotata,,2,,,,,,grey/reject habitat,,46db556a-f04a-46c9-9000-db1a877512eb; d0d2a510-ba24-487b-80ca-afc86922cb1c
Syllepte distinguenda,,2,,,,,,grey/reject habitat,,d0d2a510-ba24-487b-80ca-afc86922cb1c; 08709260-0555-4b50-9a44-162fb154a298
Valamugil coeruleomaculatus,,2,,,,,,blue/DMT to process,,d0d2a510-ba24-487b-80ca-afc86922cb1c; bd1c7214-984e-4d39-b2d4-1a0ddd36d918
Uvarus livens,,2,,,,,,grey/reject habitat,,46db556a-f04a-46c9-9000-db1a877512eb; d0d2a510-ba24-487b-80ca-afc86922cb1c
Urothoe rubra,,2,,,,,,blue/DMT to process,,46db556a-f04a-46c9-9000-db1a877512eb; d0d2a510-ba24-487b-80ca-afc86922cb1c
Uropeltis macrolepis mahabaleshwarensis,,2,,,,,,grey/reject habitat,,d0d2a510-ba24-487b-80ca-afc86922cb1c; 6d4cc1ed-ed0a-4a17-abd3-7daaa8cb3fb0
Zoanthella galapagoensis,,2,,,,,,blue/DMT to process,,c380d2c9-98b3-48cf-af6c-56a88b81f1a4
Zoanthella henseni,,2,,,,,,blue/DMT to process,,c380d2c9-98b3-48cf-af6c-56a88b81f1a4
Zoanthina diamanta,,2,,,,,,blue/DMT to process,,c380d2c9-98b3-48cf-af6c-56a88b81f1a4
Uromastix hardwickii,,2,,,,,,grey/reject habitat,,d0d2a510-ba24-487b-80ca-afc86922cb1c; 6d4cc1ed-ed0a-4a17-abd3-7daaa8cb3fb0
Strombus (canarium) labiatus labiatus,,2,,,,,,blue/DMT to process,,d0d2a510-ba24-487b-80ca-afc86922cb1c
Urolabes parasitica,,2,,,,,,"black (unresolvable, looks like a scientific name)",,ab4a2c98-22b0-470b-9fe5-40bb0c2b5987; d0d2a510-ba24-487b-80ca-afc86922cb1c
Tenuipalpus tetrazygae,,2,,,,,,grey/reject habitat,,fb62aeed-6025-4ee7-8f64-2f89e1d549f2; d0d2a510-ba24-487b-80ca-afc86922cb1c
Tenuipalpus quadrisetosus,,2,,,,,,grey/reject habitat,,d0d2a510-ba24-487b-80ca-afc86922cb1c; fb62aeed-6025-4ee7-8f64-2f89e1d549f2
Strombus (dolomena) marginatus marginatus,,2,,,,,,white/typo: resolvable to AphiaID,1033175,d0d2a510-ba24-487b-80ca-afc86922cb1c
Tenuipalpus micheli,,2,,,,,,grey/reject habitat,,58e6252a-971f-4249-af6c-20d9ea918f02; d0d2a510-ba24-487b-80ca-afc86922cb1c
Tenuipalpus hastaligni,,2,,,,,,grey/reject habitat,,d0d2a510-ba24-487b-80ca-afc86922cb1c; fb62aeed-6025-4ee7-8f64-2f89e1d549f2
Tenebria hoaraui,,2,,,,,,"black (unresolvable, looks like a scientific name)",,d0d2a510-ba24-487b-80ca-afc86922cb1c
Upupa epops ceylonensis,,2,,,,,,grey/reject habitat,,fc3e8883-7326-497b-a556-25871b85ec98; d0d2a510-ba24-487b-80ca-afc86922cb1c
Sphaerophrya pusilla,,2,,,,,,blue/DMT to process,,d0d2a510-ba24-487b-80ca-afc86922cb1c; 6d4cc1ed-ed0a-4a17-abd3-7daaa8cb3fb0
Teloganodes dentata,,2,,,,,,grey/reject habitat,,d0d2a510-ba24-487b-80ca-afc86922cb1c; 46db556a-f04a-46c9-9000-db1a877512eb
"UNID. FISH (LARVAE,JUVENILE AND ADULTS)",urn:lsid:marinespecies.org:taxname:,2,,,,,,grey/reject species grouping,,185fe84e-91f7-4f2c-b2ac-115116c7111e
Telesto rubia,,2,,,,,,white/typo: resolvable to AphiaID,1349417,d0d2a510-ba24-487b-80ca-afc86922cb1c
Zoothera citrina,,2,,,,,,grey/reject habitat,,d0d2a510-ba24-487b-80ca-afc86922cb1c; 6d4cc1ed-ed0a-4a17-abd3-7daaa8cb3fb0
Zoothera citrina albogularis,,2,,,,,,grey/reject habitat,,6d4cc1ed-ed0a-4a17-abd3-7daaa8cb3fb0; d0d2a510-ba24-487b-80ca-afc86922cb1c
Zoothera citrina andamanensis,,2,,,,,,grey/reject habitat,,d0d2a510-ba24-487b-80ca-afc86922cb1c; 6d4cc1ed-ed0a-4a17-abd3-7daaa8cb3fb0
Trimeresurus purpureomaculatus andersoni,,2,,,,,,grey/reject habitat,,6d4cc1ed-ed0a-4a17-abd3-7daaa8cb3fb0; d0d2a510-ba24-487b-80ca-afc86922cb1c
Strombus labiauts labiauts,,2,,,,,,blue/DMT to process,,d0d2a510-ba24-487b-80ca-afc86922cb1c
Trimeresurus macrolepis,,2,,,,,,grey/reject habitat,,6d4cc1ed-ed0a-4a17-abd3-7daaa8cb3fb0; d0d2a510-ba24-487b-80ca-afc86922cb1c
Zoothera sibirica,,2,,,,,,grey/reject habitat,,6d4cc1ed-ed0a-4a17-abd3-7daaa8cb3fb0; d0d2a510-ba24-487b-80ca-afc86922cb1c
Zoothera sibirica davisoni,,2,,,,,,grey/reject habitat,,d0d2a510-ba24-487b-80ca-afc86922cb1c; 6d4cc1ed-ed0a-4a17-abd3-7daaa8cb3fb0
Zoothera sibirica sibirica,,2,,,,,,grey/reject habitat,,6d4cc1ed-ed0a-4a17-abd3-7daaa8cb3fb0; d0d2a510-ba24-487b-80ca-afc86922cb1c
Telamonia peckhami,,2,,,,,,grey/reject habitat,,d0d2a510-ba24-487b-80ca-afc86922cb1c; fb62aeed-6025-4ee7-8f64-2f89e1d549f2
Trimeresurus labialis,,2,,,,,,grey/reject habitat,,d0d2a510-ba24-487b-80ca-afc86922cb1c; 6d4cc1ed-ed0a-4a17-abd3-7daaa8cb3fb0
Syllepte crotonalis,,2,,,,,,grey/reject habitat,,9f14fcfe-b8c4-4614-82de-3f76eb47ed7f; d0d2a510-ba24-487b-80ca-afc86922cb1c
Zosterops borbonica alopekion,,2,,,,,,grey/reject habitat,,6d4cc1ed-ed0a-4a17-abd3-7daaa8cb3fb0; d0d2a510-ba24-487b-80ca-afc86922cb1c
Zosterops borbonica borbonica,,2,,,,,,grey/reject habitat,,d0d2a510-ba24-487b-80ca-afc86922cb1c; 6d4cc1ed-ed0a-4a17-abd3-7daaa8cb3fb0
Trichogaster pectoralis,,2,,,,,Trichogaster,grey/reject habitat,,0620ae56-5e20-412e-afd9-77acfa5a663a
Unidentified - 364,urn:lsid:marinespecies.org:taxname:,2,,,,,,"black (unresolvable, looks like a scientific name)",,185fe84e-91f7-4f2c-b2ac-115116c7111e
Trimeresurus cantori,,2,,,,,,grey/reject habitat,,6d4cc1ed-ed0a-4a17-abd3-7daaa8cb3fb0; d0d2a510-ba24-487b-80ca-afc86922cb1c
Zosterops olivaceus,,2,,,,,,grey/reject habitat,,6d4cc1ed-ed0a-4a17-abd3-7daaa8cb3fb0; d0d2a510-ba24-487b-80ca-afc86922cb1c
Zosterops palpebrosa nicobarica,,2,,,,,,grey/reject habitat,,d0d2a510-ba24-487b-80ca-afc86922cb1c; 6d4cc1ed-ed0a-4a17-abd3-7daaa8cb3fb0
Zosterops palpebrosa palbrosa,,2,,,,,,blue/DMT to process,,6d4cc1ed-ed0a-4a17-abd3-7daaa8cb3fb0; d0d2a510-ba24-487b-80ca-afc86922cb1c
Tedania (Trachytedania) inata,,2,,,,,,blue/DMT to process,,e1df0eb1-0b1e-4f7a-bd85-e3df36bec1e8
Tectus radiatus,,2,,,,,,blue/DMT to process,,d0d2a510-ba24-487b-80ca-afc86922cb1c; ab4a2c98-22b0-470b-9fe5-40bb0c2b5987
Spirastrella spirastrella,,2,,,,,,blue/DMT to process,,89e23fc8-3f61-4480-9de3-358fe6eefe0b
Zyxomma obtusum,,2,,,,,,grey/reject habitat,,d0d2a510-ba24-487b-80ca-afc86922cb1c; 46db556a-f04a-46c9-9000-db1a877512eb
Zyxomma petiolatum,,2,,,,,,grey/reject habitat,,46db556a-f04a-46c9-9000-db1a877512eb; d0d2a510-ba24-487b-80ca-afc86922cb1c
Udugama splendens,,2,,,,,,grey/reject habitat,,46db556a-f04a-46c9-9000-db1a877512eb; d0d2a510-ba24-487b-80ca-afc86922cb1c
Tchitrea corvina,,2,,,,,,"black (unresolvable, looks like a scientific name)",,6d4cc1ed-ed0a-4a17-abd3-7daaa8cb3fb0; d0d2a510-ba24-487b-80ca-afc86922cb1c
Thliptoceras cascalis,,2,,,,,,grey/reject habitat,,d0d2a510-ba24-487b-80ca-afc86922cb1c; 9f14fcfe-b8c4-4614-82de-3f76eb47ed7f
Thomisus andamanensis,,2,,,,,,grey/reject habitat,,d0d2a510-ba24-487b-80ca-afc86922cb1c; fb62aeed-6025-4ee7-8f64-2f89e1d549f2
Sphenia pedata,,2,,,,,,blue/DMT to process,,d0d2a510-ba24-487b-80ca-afc86922cb1c; 71c18dbe-72a9-42af-8108-4f2799e1c270
Tyto alba deroepstorfii,,2,,,,,,grey/reject habitat,,6d4cc1ed-ed0a-4a17-abd3-7daaa8cb3fb0; d0d2a510-ba24-487b-80ca-afc86922cb1c
Tyspanodes linealis,,2,,,,,,grey/reject habitat,,d0d2a510-ba24-487b-80ca-afc86922cb1c; 9f14fcfe-b8c4-4614-82de-3f76eb47ed7f
Syllepte christophalis,,2,,,,,,grey/reject habitat,,d0d2a510-ba24-487b-80ca-afc86922cb1c; 46db556a-f04a-46c9-9000-db1a877512eb
Typosyllis spec,,2,,,,,,"white/human intervention, loss of info, resolvable to AphiaID",147195,2102c55e-588b-4c35-96c7-822fd50c3437
Stephensoniella barkudensis,,2,,,,,,blue/DMT to process,,d0d2a510-ba24-487b-80ca-afc86922cb1c; 58e6252a-971f-4249-af6c-20d9ea918f02
Typhlops oatesi,,2,,,,,,grey/reject habitat,,d0d2a510-ba24-487b-80ca-afc86922cb1c; 6d4cc1ed-ed0a-4a17-abd3-7daaa8cb3fb0
Trimeresurus albolabris,,2,,,,,,grey/reject habitat,,6d4cc1ed-ed0a-4a17-abd3-7daaa8cb3fb0; d0d2a510-ba24-487b-80ca-afc86922cb1c
Thrissocles rambhoe,,2,,,,,,blue/DMT to process,,d0d2a510-ba24-487b-80ca-afc86922cb1c; b43e35f1-93b3-4b15-9925-76ac85224c72
Typhlops andamanensis,,2,,,,,,grey/reject habitat,,d0d2a510-ba24-487b-80ca-afc86922cb1c; 6d4cc1ed-ed0a-4a17-abd3-7daaa8cb3fb0
Typhloplanoidea,,2,,,,,,blue/DMT to process,,41a50544-957c-4193-8bbf-25a25f749e85
Tympanidium foliosum,,2,Sarcodina,Actinopoda,Nassellaria,Spyridae,Tympanidium,blue/DMT to process,,2859e656-7354-4b96-bbe4-08719aede5c4
Sporastatia,,2,Ascomycota,,,,Sporastatia,blue/DMT to process,,d613e932-1d8e-4fc1-b596-95d3f980ebdb
Stegopoma alternata,,2,,,,,,blue/DMT to process,,89e23fc8-3f61-4480-9de3-358fe6eefe0b
Tylonycteris pachypus fulvida,,2,,,,,,grey/reject habitat,,6d4cc1ed-ed0a-4a17-abd3-7daaa8cb3fb0; d0d2a510-ba24-487b-80ca-afc86922cb1c
Tylonycteris pachypus,,2,,,,,,grey/reject habitat,,d0d2a510-ba24-487b-80ca-afc86922cb1c; 6d4cc1ed-ed0a-4a17-abd3-7daaa8cb3fb0
Thumatha fuscescens,,2,,,,,,grey/reject habitat,,d0d2a510-ba24-487b-80ca-afc86922cb1c; 46db556a-f04a-46c9-9000-db1a877512eb
Taphozous saccolaimus crassus,,2,,,,,,blue/DMT to process,,6d4cc1ed-ed0a-4a17-abd3-7daaa8cb3fb0; d0d2a510-ba24-487b-80ca-afc86922cb1c
Turrid sp 1,,2,Mollusca,Gastropoda,,Turridae,,"white/human intervention, loss of info, resolvable to AphiaID",152,6856003b-1899-4a92-be6d-7a8052af5691
Taphozous melanopogon melanopogon,,2,,,,,,blue/DMT to process,,6d4cc1ed-ed0a-4a17-abd3-7daaa8cb3fb0; d0d2a510-ba24-487b-80ca-afc86922cb1c
Taphozous longimanus,,2,,,,,,grey/reject habitat,,6d4cc1ed-ed0a-4a17-abd3-7daaa8cb3fb0; d0d2a510-ba24-487b-80ca-afc86922cb1c
Turnix tanki,,2,,,,,,grey/reject habitat,,6d4cc1ed-ed0a-4a17-abd3-7daaa8cb3fb0; d0d2a510-ba24-487b-80ca-afc86922cb1c
Turnix suscitator,,2,,,,,,grey/reject habitat,,d0d2a510-ba24-487b-80ca-afc86922cb1c; 6d4cc1ed-ed0a-4a17-abd3-7daaa8cb3fb0
Stumus contra,,2,,,,,,grey/reject habitat,,d0d2a510-ba24-487b-80ca-afc86922cb1c; 6d4cc1ed-ed0a-4a17-abd3-7daaa8cb3fb0
Turnix nigricollis,,2,,,,,,grey/reject habitat,,6d4cc1ed-ed0a-4a17-abd3-7daaa8cb3fb0; d0d2a510-ba24-487b-80ca-afc86922cb1c
Sturnus contra,,2,,,,,,grey/reject habitat,,d0d2a510-ba24-487b-80ca-afc86922cb1c; 6d4cc1ed-ed0a-4a17-abd3-7daaa8cb3fb0
Sturnus erythropygius andamanensis,,2,,,,,,grey/reject habitat,,6d4cc1ed-ed0a-4a17-abd3-7daaa8cb3fb0; d0d2a510-ba24-487b-80ca-afc86922cb1c
Sturnus erythropygius erythropygius,,2,,,,,,grey/reject habitat,,d0d2a510-ba24-487b-80ca-afc86922cb1c; 6d4cc1ed-ed0a-4a17-abd3-7daaa8cb3fb0
Sturnus erythropygius katchalensis,,2,,,,,,grey/reject habitat,,6d4cc1ed-ed0a-4a17-abd3-7daaa8cb3fb0; d0d2a510-ba24-487b-80ca-afc86922cb1c
Turdus obscurus,,2,,,,,,grey/reject habitat,,6d4cc1ed-ed0a-4a17-abd3-7daaa8cb3fb0; d0d2a510-ba24-487b-80ca-afc86922cb1c
Tilapia flavomarginata,,2,,,,,,grey/reject habitat,,705770e5-3474-4e69-be8b-3107a0c5610a
Sturnus sturninus,,2,,,,,,grey/reject habitat,,d0d2a510-ba24-487b-80ca-afc86922cb1c; 6d4cc1ed-ed0a-4a17-abd3-7daaa8cb3fb0
Trihyrodinium suspectum,,2,,,,,,blue/DMT to process,,b58d5ca0-1af8-48b3-993d-6c89742bb0d2
Turdoides striatus orissae,,2,,,,,,grey/reject habitat,,d0d2a510-ba24-487b-80ca-afc86922cb1c; 6d4cc1ed-ed0a-4a17-abd3-7daaa8cb3fb0
Turdoides striatus,,2,,,,,,grey/reject habitat,,6d4cc1ed-ed0a-4a17-abd3-7daaa8cb3fb0; d0d2a510-ba24-487b-80ca-afc86922cb1c
Tinolius eburneigutta,,2,,,,,,grey/reject habitat,,133fe4f5-dfd6-4ce3-ba51-2dbbf982342d; d0d2a510-ba24-487b-80ca-afc86922cb1c
Stylaster norvegica pacifica,,2,,,,,,blue/DMT to process,,89e23fc8-3f61-4480-9de3-358fe6eefe0b
Sylvia hortensis jordani,,2,,,,,,grey/reject habitat,,6d4cc1ed-ed0a-4a17-abd3-7daaa8cb3fb0; d0d2a510-ba24-487b-80ca-afc86922cb1c
Tiquadra etiennei,,2,,,,,,grey/reject habitat,,d0d2a510-ba24-487b-80ca-afc86922cb1c; 46db556a-f04a-46c9-9000-db1a877512eb
Tiquadra guillermeti,,2,,,,,,grey/reject habitat,,46db556a-f04a-46c9-9000-db1a877512eb; d0d2a510-ba24-487b-80ca-afc86922cb1c
Sylvia curruca minula,,2,,,,,,grey/reject habitat,,d0d2a510-ba24-487b-80ca-afc86922cb1c; 6d4cc1ed-ed0a-4a17-abd3-7daaa8cb3fb0
Trichoptilus leptomeres,,2,,,,,,grey/reject habitat,,d0d2a510-ba24-487b-80ca-afc86922cb1c; 46db556a-f04a-46c9-9000-db1a877512eb
Titanoptilus rufus,,2,,,,,,grey/reject habitat,,46db556a-f04a-46c9-9000-db1a877512eb; d0d2a510-ba24-487b-80ca-afc86922cb1c
Sylvia communis icterops,,2,,,,,,grey/reject habitat,,6d4cc1ed-ed0a-4a17-abd3-7daaa8cb3fb0; d0d2a510-ba24-487b-80ca-afc86922cb1c
Tmetonyx barentsi,,2,Arthropoda,Malacostraca,Amphipoda,Lysianassidae,Tmetonyx,blue/awaiting editor feedback,,f3d7798e-7bf2-4b85-8ed4-18f2c1849d7d
Tamba nigrilinea,,2,,,,,,grey/reject habitat,,133fe4f5-dfd6-4ce3-ba51-2dbbf982342d; d0d2a510-ba24-487b-80ca-afc86922cb1c
